IBAN,Transaction ID
GB12DSBX95988262230725,3888
GB22BARC42863883172326,4746
GB22BARC53282134302539,5404
GB2LNWBK93877113350031,9013
GB22BARC57143268745993,2535
GB22BARC79827460830548,4656
GB4BHBUK50846668373125,1245
GB4BHBUK56593943638730,9741
GB4BHBUK19554477144031,1671
GB22HLFX10019840722610,5574
GB3EABBY42635630601237,1298
GB12DSBX59774456630552,7086
GB22BARC35598782773607,3959
GB3EABBY80436238383736,6400
GBC1LOYD51074179724968,4870
GB22BARC55073838687214,7778
GB4BHBUK74789296930299,1425
GB12DSBX61857971210735,1314
GB4BHBUK57548710519002,2774
GB12DSBX86544212193988,1493
GB22BARC21841777656886,5644
GB3EABBY21090451052559,8664
GB3EABBY65905240072077,8110
GB4BHBUK88532572219605,1572
GB4BHBUK34843258721386,3279
GB3EABBY23651853393048,3892
GB4BHBUK23914453092685,5042
GB22HLFX92575259488515,1673
GB4BHBUK71694010170574,9992
GB22HLFX16586513213297,6948
GB22BARC96924067860804,9181
GB3EABBY54100385919526,7066
GB3EABBY75783470255646,5778
GB3EABBY70037475951736,3890
GBC1LOYD45825569969270,1126
GB2LNWBK29270985946847,8403
GB3EABBY25318860934362,1327
GB22HLFX24729957383660,4580
GB22HLFX13766021915880,7353
GB12DSBX21275453786334,1952
GB4BHBUK43474072954282,2882
GB4BHBUK66307466763721,4859
GB2LNWBK58372337658820,4060
GB3EABBY41192656478271,6933
GB3EABBY26638594377199,4756
GB22HLFX64482127270504,4251
GB22HLFX59660150508460,4102
GB12DSBX41316078873999,9137
GB2LNWBK19611433725878,7809
GB2LNWBK34762822610455,9307
GB3EABBY44478144418182,9415
GB4BHBUK67357062609049,2902
GB3EABBY73485061059913,2031
GB4BHBUK74721138183636,4856
GB22BARC20766392497278,2570
GB12DSBX28178620220923,4063
GB22BARC49536476275760,1730
GB4BHBUK24815290692776,6155
GB22HLFX33530821348995,3600
GBC1LOYD64945830335066,8453
GB3EABBY68363652310258,1716
GB3EABBY43622091658439,8864
GB4BHBUK90535525504883,9760
GB22BARC23881843602961,2354
GB4BHBUK99836025862478,7081
GBC1LOYD97849671124764,5955
GBC1LOYD87493846967961,8500
GBC1LOYD96885447199472,6054
GB22HLFX69112538668066,1614
GB22BARC86447625328896,1215
GB22HLFX98290826844967,4653
GBC1LOYD43861382021377,5773
GB2LNWBK42252795862106,1281
GB12DSBX32549026013637,3770
GB4BHBUK97038541599267,8808
GB22BARC97774786932953,7665
GB2LNWBK73789035061906,5834
GB2LNWBK79647546226858,6999
GB2LNWBK93263053420865,3598
GB12DSBX28066085744933,2760
GB4BHBUK58346132950330,9224
GB22BARC75189450400945,1062
GB22BARC16157480259094,2953
GB12DSBX70700574379515,9530
GB2LNWBK65358083955552,8629
GB2LNWBK88752496412639,7268
GB4BHBUK95741982753835,2340
GBC1LOYD63461763007765,7485
GB4BHBUK74259532710603,9096
GB22HLFX36632147474979,2797
GB22BARC29369996432979,9195
GB4BHBUK81899653579089,2868
GB2LNWBK16710742126094,3270
GBC1LOYD63589183475180,8813
GB2LNWBK67189758775796,7983
GB4BHBUK24151244568613,9373
GBC1LOYD59175172261023,2021
GB12DSBX29723910570182,6764
GB22HLFX21853047326725,3286
GB22HLFX49312675616805,7423
